DOI,publication_date,total_size_kb,num_files,bash,stata,julia,python,R,C,C++,Matlab,fortran,SAS,Java,SPSS,Mathematica,PHP,Scilab
10.7910/DVN/26936,2014-08-04,2234.63,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27063,2014-08-19,3809.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/27113,2014-08-19,1471.77,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26783,2014-07-21,24.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26867,2014-07-31,47.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26721,2014-07-16,43342.3,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26662,2014-07-11,2923.96,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26714,2014-07-28,4461.29,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26467,2014-06-10,8200.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26522,2014-06-14,146.39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26570,2014-06-24,5035.12,44,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26490,2014-06-11,145.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26638,2014-07-02,602267.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26642,2014-07-08,264.58,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25615,2014-05-02,4815.17,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25707,2014-06-18,753.9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/25540,2014-06-24,102.19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/26461,2014-06-11,83.47,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
